Memphis;38.4892;-85.7679;;Memphis38.4892-85.7679
Hazleton;38.4893;-87.5406;;Hazleton38.4893-87.5406
Petersburg;38.4919;-87.281;;Petersburg38.4919-87.281
New Pekin;38.5029;-86.0152;;New Pekin38.5029-86.0152
Decker;38.5184;-87.524;;Decker38.5184-87.524
West Salem;38.5198;-88.0092;;West Salem38.5198-88.0092
Campbellsburg;38.522;-85.2195;;Campbellsburg38.522-85.2195
Allendale;38.5276;-87.7102;;Allendale38.5276-87.7102
Owenton;38.5386;-84.8409;;Owenton38.5386-84.8409
Henryville;38.5395;-85.7655;;Henryville38.5395-85.7655
French Lick;38.5462;-86.6202;;French Lick38.5462-86.6202
Livonia;38.5549;-86.2778;;Livonia38.5549-86.2778
Paoli;38.5572;-86.4699;;Paoli38.5572-86.4699
Alfordsville;38.5608;-86.9482;;Alfordsville38.5608-86.9482
New Washington;38.5657;-85.5461;;New Washington38.5657-85.5461
West Baden Springs;38.5675;-86.612;;West Baden Springs38.5675-86.612
Parkersburg;38.5891;-88.0568;;Parkersburg38.5891-88.0568
St. Francisville;38.5919;-87.6474;;St. Francisville38.5919-87.6474
Bedford;38.5957;-85.3175;;Bedford38.5957-85.3175
Salem;38.6048;-86.0977;;Salem38.6048-86.0977
Worthville;38.6098;-85.0681;;Worthville38.6098-85.0681
Monroe City;38.6145;-87.3531;;Monroe City38.6145-87.3531
Calhoun;38.6511;-88.044;;Calhoun38.6511-88.044
Campbellsburg;38.6514;-86.2613;;Campbellsburg38.6514-86.2613
Sanders;38.6549;-84.9466;;Sanders38.6549-84.9466
Washington;38.6587;-87.1591;;Washington38.6587-87.1591
Orleans;38.6615;-86.4517;;Orleans38.6615-86.4517
Wheatland;38.6632;-87.3062;;Wheatland38.6632-87.3062
Montgomery;38.6655;-87.0493;;Montgomery38.6655-87.0493
Saltillo;38.6662;-86.2975;;Saltillo38.6662-86.2975
Shoals;38.6669;-86.7938;;Shoals38.6669-86.7938
Cannelburg;38.668;-86.9978;;Cannelburg38.668-86.9978
Loogootee;38.6756;-86.9141;;Loogootee38.6756-86.9141
Vincennes;38.676;-87.5102;;Vincennes38.676-87.5102
Carrollton;38.68;-85.1656;;Carrollton38.68-85.1656
Prestonville;38.6805;-85.1931;;Prestonville38.6805-85.1931
Scottsburg;38.6851;-85.783;;Scottsburg38.6851-85.783
Sparta;38.6969;-84.9073;;Sparta38.6969-84.9073
Little York;38.6993;-85.9045;;Little York38.6993-85.9045
Bridgeport;38.7095;-87.759;;Bridgeport38.7095-87.759
Milton;38.7113;-85.3734;;Milton38.7113-85.3734
Hanover;38.7133;-85.4726;;Hanover38.7133-85.4726
Claremont;38.7176;-87.973;;Claremont38.7176-87.973
Sumner;38.7195;-87.8722;;Sumner38.7195-87.8722
Dover Hill;38.7221;-86.8002;;Dover Hill38.7221-86.8002
Glencoe;38.7252;-84.8238;;Glencoe38.7252-84.8238
Lawrenceville;38.7264;-87.6873;;Lawrenceville38.7264-87.6873
Olney;38.7285;-88.0838;;Olney38.7285-88.0838
Ghent;38.734;-85.0612;;Ghent38.734-85.0612
Brooksburg;38.735;-85.2445;;Brooksburg38.735-85.2445
Mitchell;38.7368;-86.4755;;Mitchell38.7368-86.4755
Kent;38.7369;-85.5387;;Kent38.7369-85.5387
Austin;38.7418;-85.8112;;Austin38.7418-85.8112
Vevay;38.7427;-85.0783;;Vevay38.7427-85.0783
Ragsdale;38.7467;-87.3241;;Ragsdale38.7467-87.3241
Bruceville;38.758;-87.4154;;Bruceville38.758-87.4154
Madison;38.7581;-85.3974;;Madison38.7581-85.3974
Bicknell;38.7743;-87.3078;;Bicknell38.7743-87.3078
Warsaw;38.7773;-84.9042;;Warsaw38.7773-84.9042
Florence;38.7836;-84.9238;;Florence38.7836-84.9238
Crothersville;38.7944;-85.84;;Crothersville38.7944-85.84
Deputy;38.7952;-85.6528;;Deputy38.7952-85.6528
Emison;38.7991;-87.4604;;Emison38.7991-87.4604
Plainville;38.8049;-87.1515;;Plainville38.8049-87.1515
