Westfield;40.0333;-86.1532
Lapel;40.0334;-85.8407
Homer;40.0335;-87.9578
Noblesville;40.0354;-86.0042
Crawfordsville;40.0428;-86.8975
Westville;40.0439;-87.6389
Fairmount;40.0456;-87.8293
Modoc;40.0456;-85.1262
Springport;40.047;-85.3926
Lynn;40.0488;-84.9424
Perrysville;40.0532;-87.436
Middletown;40.0596;-85.5422
Blountsville;40.06;-85.2383
Belgium;40.0607;-87.6328
Ulen;40.0662;-86.4651
Catlin;40.0675;-87.7079
Waynetown;40.088;-87.0655
Anderson;40.0891;-85.6893
Tilton;40.0941;-87.6398
Edgewood;40.1032;-85.7375
Darlington;40.1073;-86.7767
Hillsboro;40.1089;-87.1576
Oakwood;40.1101;-87.7769
River Forest;40.1107;-85.7294
Chesterfield;40.113;-85.5943
Veedersburg;40.114;-87.2568
St. Joseph;40.1141;-88.0354
Fithian;40.1143;-87.875
Ogden;40.115;-87.9563
Muncie;40.1161;-87.8428
Woodlawn Heights;40.1184;-85.6969
Daleville;40.1189;-85.5573
Country Club Heights;40.1242;-85.6877
Cicero;40.1247;-86.0242
Thorntown;40.1292;-86.6099
Sheridan;40.132;-86.2197
Covington;40.1406;-87.3913
Danville;40.1423;-87.6114
Mellott;40.1641;-87.1488
Winchester;40.172;-84.9766
Wingate;40.1723;-87.0726
Arcadia;40.1742;-86.021
Yorktown;40.183;-85.5123
Linden;40.1889;-86.9023
Selma;40.189;-85.2753
Farmland;40.1895;-85.1273
Parker City;40.1898;-85.2037
Kirklin;40.1929;-86.3593
Royal;40.1932;-87.9725
Colfax;40.1941;-86.6668
New Richmond;40.1942;-86.9779
State Line City;40.1974;-87.527
Muncie;40.1989;-85.395
Union City;40.1995;-84.8206
Union City;40.1996;-84.7943
Newtown;40.2045;-87.1483
Atlanta;40.2139;-86.0271
Frankton;40.2211;-85.7719
Saratoga;40.2368;-84.9159
Clarks Hill;40.2472;-86.7245
Alexandria;40.2584;-85.676
Bismarck;40.2594;-87.6113
Orestes;40.271;-85.7247
West Lebanon;40.2724;-87.3862
Elwood;40.2744;-85.837
Frankfort;40.281;-86.5213
Tipton;40.282;-86.0422
Stockwell;40.2822;-86.7687
Attica;40.2874;-87.2452
Kempton;40.2881;-86.2294
Williamsport;40.2884;-87.2922
Ridgeville;40.2921;-85.0285
Penfield;40.3047;-87.9444
Albany;40.3056;-85.2331
Potomac;40.3068;-87.7977
Henning;40.3069;-87.701
Alvan;40.307;-87.6069
Gifford;40.3079;-88.0214
Gaston;40.314;-85.501
Eaton;40.3218;-85.3591
Michigantown;40.3281;-86.3916
Summitville;40.3359;-85.6437
West Point;40.3412;-87.0432
Mulberry;40.3458;-86.6672
Redkey;40.3483;-85.1539
Shadeland;40.3509;-86.9622
Windfall City;40.3619;-85.9584
Dunkirk;40.3741;-85.2076
Dayton;40.3752;-86.7739
Sharpsville;40.3797;-86.0869
Rossville;40.3815;-87.67
Salamonia;40.386;-84.8652
Matthews;40.3875;-85.4977
Lafayette;40.399;-86.8594
Fowlerton;40.4095;-85.5728
Shamrock Lakes;40.4117;-85.4261
Fairmount;40.4173;-85.6477
Russiaville;40.4185;-86.2731
Rossville;40.4196;-86.5958
Point Isabel;40.4206;-85.8219
Portland;40.4375;-84.9833
West Lafayette;40.4432;-86.9239
Pine Village;40.4495;-87.2534
Hartford City;40.4537;-85.3736
Hoopeston;40.4608;-87.6635
